id,type,domain,enabled,date_added,date_modified,comment
63,0,106c06cd218b007d-b1e8a1331f68446599e96a4b46a050f5.ams.plex.services,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
64,0,cpms35.spop10.ams.plex.bz,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
65,0,node.plexapp.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
66,0,nine.plugins.plexapp.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
67,0,gravatar.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
68,0,themoviedb.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
69,0,t.co,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
70,0,goo.gl,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
71,0,thepiratebay.org,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
72,0,thepiratebay.se,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
73,0,netflix.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
74,0,hulu.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
75,0,s.shopify.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
76,0,dl.dropbox.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
77,0,ea.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
78,0,cdn.optimizely.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
79,0,kickstarter.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
80,0,netgear.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
81,0,wd.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
82,0,turner.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
83,0,cwtv.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
84,0,verizon.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
85,0,dpm.demdex.net,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
86,0,icloud.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
87,0,apple.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
88,0,ring.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
89,0,arlo.netgear.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
90,0,assets.adobedtm.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
91,0,secure.footprint.net,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
92,0,auth.adobe.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
93,0,microsoft.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
94,0,zillow.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
95,0,vmware.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
96,0,juniper.net,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
97,0,fortinet.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
98,0,pulsesecure.net,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
99,0,adobe.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
