id,address,enabled,date_added,date_modified,comment,date_updated,number,invalid_domains,status
36,https://v.firebog.net/hosts/BillStearns.txt,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1636522302,8778,0,2
37,https://v.firebog.net/hosts/Easylist.txt,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1645955782,16338,0,1
38,https://v.firebog.net/hosts/Easyprivacy.txt,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1645955782,12647,0,1
39,https://v.firebog.net/hosts/Prigent-Ads.txt,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1636522303,3670,0,2
40,https://v.firebog.net/hosts/Prigent-Malware.txt,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1645955782,58088,0,1
41,https://v.firebog.net/hosts/Prigent-Phishing.txt,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1645955783,58088,0,1
42,https://v.firebog.net/hosts/Shalla-mal.txt,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1636522306,19239,0,2
43,https://v.firebog.net/hosts/static/w3kbl.txt,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1636522306,357,0,2
44,https://www.malwaredomainlist.com/hostslist/hosts.txt,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1636522306,0,0,2
45,https://www.squidblacklist.org/downloads/dg-ads.acl,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list","",0,0,4
46,https://www.squidblacklist.org/downloads/dg-malicious.acl,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list","",0,0,4
47,https://zerodot1.gitlab.io/CoinBlockerLists/hosts,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1639303297,263148,0,2
48,https://zeustracker.abuse.ch/blocklist.php?download=domainblocklist,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list","",0,0,4
49,https://tspprs.com/dl/cl1,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1636522371,0,0,2
50,https://blocklist.site/app/dl/ads,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1645062891,154562,0,2
